Planilha: 00011 - TUNEL SUBMERSO SIGMA P82                                    ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
IM1639,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO, 16MM2  ",M     ,52940,            ,4.6,243524,0.03,97.38,0.02,53.7
IM1607,APLICAÇÃO DE TINTA ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO)  ,M2    ,4180,            ,58.09,242816.2,0.03,97.41,0.02,53.72
IM1889,INJEÇÃO DE NATA DE CIMENTO  ,KG    ,118481.94,            ,1.98,234594.24,0.03,97.44,0.02,53.74
IM0413,"GASTALHO 10 X 2,5 CM  ",M     ,88128.661514,            ,2.63,231778.4,0.03,97.47,0.02,53.76
IM1297,FORNECIMENTO E TRANSPORTE DE PLACA DE ALUMÍNIO GT+AI  ,M2    ,348,            ,661.71,230275.08,0.03,97.5,0.02,53.78
IM1662,CABO ÓPTICO MONOMODO - OUTDOOR/ INDOOR 2FO PRÉ-CONECTORIZADO (SCE)  ,M     ,17000,            ,13.45,228650,0.03,97.53,0.02,53.8
IM1838,BOMBA SUBMERSÍVEL PARA ÁGUA SERVIDA Q=270m³/h  H=20 m.c.a.  ,UN    ,3,            ,72058.34,216175.02,0.03,97.56,0.02,53.82
IM1835,"VÁLVULA DE GAVETA DE AÇO Ø8""  ",UN    ,66,            ,3262,215292,0.03,97.59,0.02,53.84
IM1387,CABO DE COBRE 240 MM² - ISOLAMENTO PARA 1 KV  ,M     ,5460,            ,39.3,214578,0.03,97.62,0.01,53.85
IM1541,CONJUNTO CÂMERA FIXA DIGITAL + LENTE 8mm + CAIXA DE PROTEÇÃO E ACESSÓRIOS  ,CJ    ,27,            ,7506.63,202679.01,0.03,97.65,0.01,53.86
IM1114,LUVA E PINO  DE PRENSAGEM Ø32MM  ,UN    ,4068.36,            ,49,199349.64,0.03,97.68,0.01,53.87
IM1793,"ESCADA ROLANTE, LARGURA DOS DEGRAUS DE 1,0 METRO, COM DESNÍVEL DE 4,90 METROS, VELOCIDADE DE 0,5 m/s E CAPACIDADE DE 9.000 PESSOAS/HORA  ",UN    ,1,            ,198275.76,198275.76,0.03,97.71,0.01,53.88
IM1892,SERVIÇO DE TOPOGRAFIA PARA ALINHAMENTO DA CHAPA METÁLICA SOLDADA NA ESTRUTURA FRONTAL DO TÚNEL  ,UN    ,12,            ,16219.2,194630.4,0.02,97.73,0.01,53.89
IM1535,CONJUNTO CAIXA TÉCNICA P/ CÂMERA FIXA (QUADRO + TRANSFORMADOR + RÉGUA E ACESSÓRIOS)  ,CJ    ,58,            ,3317.51,192415.58,0.02,97.75,0.01,53.9
IN0801,BOMBA HIDRÁULICA ALTA PRESSÃO MAC  ,H     ,4804.5331,            ,39.31,188897.98,0.02,97.77,0.01,53.91
IM1924,MADEIRA PARA FORMA  ,M3    ,230.608289,            ,800,184486.64,0.02,97.79,0.01,53.92
IM1300,"FORNECIMENTO,TRANSPORTE E FIXAÇÃO DE PÓRTICO TUBULAR METÁLICO VÃO DE 15,20 m  ",UN    ,8,            ,22292.1,178336.8,0.02,97.81,0.01,53.93
IM1789,ELEVADOR ELÉTRICO SEM CASA DE MÁQUINAS - 3 PARADAS  ,UN    ,2,            ,88824.37,177648.74,0.02,97.83,0.01,53.94
IM1896,"TUBO DE AÇO CARBONO 1""  ",M     ,13920,            ,12.62,175670.4,0.02,97.85,0.01,53.95
IM1633,"LUMINARIA DE EMERGENCIA COM UMA LÂMPADA ELETRÔNICA DE 15W-220V, À PROVA DE TEMPO, GASES, VAPORES E PÓ, COM PROTEÇÃO E GRADE DE ALUMÍNIO FUNDIDO E VIDRO TRANSPARENTE, CUSTOMIZADA ANTI VANDALISMO  ",CJ    ,852,            ,206.09,175588.68,0.02,97.87,0.01,53.96
IM1754,"PISO EM GRANITO CINZA MAUA, PLACAS - ESPESSURA 2 cm  ",M2    ,1434.78,            ,121.91,174914.03,0.02,97.89,0.01,53.97
IM1439,"CUBÍCULO DE MÉDIA TENSÃO “CM 8.4-8.5-8.6-”, TIPO METAL CLAD, COM SECCIONADORA, AUXILIARES E INTERLIGAÇÕES, CLASSE 15 kv, CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,3,            ,58107.81,174323.43,0.02,97.91,0.01,53.98
IM1819,JUNTA ELASTICA EM PVC TIPO O-22  ,M     ,5463.076,            ,31.9,174272.13,0.02,97.93,0.01,53.99
IM1673,CONJUNTO CÂMERA FIXA DIGITAL IP + LENTE 12mm + CAIXA DE PROTEÇÃO E ACESSÓRIOS  ,CJ    ,20,            ,8671.32,173426.4,0.02,97.95,0.01,54
IM1435,"CUBÍCULO DE MÉDIA TENSÃO “CM 4.1-4.2-4.3”, TIPO METALCLAD, COM SECCIONADORA, CLASSE 15 KV, CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,3,            ,57450.4,172351.2,0.02,97.97,0.01,54.01
IM1438,"CUBÍCULO DE MÉDIA TENSÃO “CM 8.1-8.2-8.3-”, TIPO METAL CLAD, COM SECCIONADORA, CLASSE 15 kv, CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,3,            ,57450.4,172351.2,0.02,97.99,0.01,54.02
IM1553,CONJUNTO SINALIZADORES DE ABANDONO ELETRÔNICO COMPLETO E INSTALADO  ,CJ    ,103,            ,1657.66,170738.98,0.02,98.01,0.01,54.03
IM1119,"APARELHO DE ANCORAGEM ATIVO DE 15 FIOS 5/8"" (15,2MM)  ",UN    ,300,            ,560,168000,0.02,98.03,0.01,54.04
IM1596,SWITCH GIGABIT ETHERNET 24 PORTAS FO + 3 OU 4 PORTAS RJ45 - COMUTAÇÃO L3  ,UN    ,22,            ,7476.79,164489.38,0.02,98.05,0.01,54.05
IM1827,MATERIAL DE CONSUMO PERFURATRIZ  ,M     ,15252,            ,10.6,161671.2,0.02,98.07,0.01,54.06
IM1088,"BARRA DE AÇO CA-60 5,0MM  ",KG    ,62765.39,            ,2.57,161307.06,0.02,98.09,0.01,54.07
IM1466,"QUADRO DE DISTRIBUIÇÃO DE FORÇA ""QF-ER"", 460/265V, COMPLETA COM DISJUNTORES, BOMBA DE DRENAGEM – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR  ",CJ    ,12,            ,13304.3,159651.6,0.02,98.11,0.01,54.08
IM1437,"CUBÍCULO DE MÉDIA TENSÃO “CM 5-6-7”, TIPO METAL CLAD, COM SECCIONADORA, MEDIÇÃO E DISJUNTOR A VÁCUO OU SF6 EXTRAÍVEL, MEDIÇÃO E RELÉS DE PROTEÇÃO COM MÓDULO DE SAÍDA, CLASSE 15 kv, CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,3,            ,52489.81,157469.43,0.02,98.13,0.01,54.09
IM1837,BOMBA SUBMERSÍVEL PARA ÁGUA SERVIDA Q=150m³/h  H=20 m.c.a.  ,UN    ,9,            ,17405,156645,0.02,98.15,0.01,54.1
IM1568,"FORNECIMENTO, INSTALAÇÃO, TESTE, CONFIGURAÇÃO E COMISSIONAMENTO DE CENTRAL DE DETECÇÃO E ALARME DE INCÊNDIOS COMPOSTA DE MÓDULO DE COMUNICAÇÃO EM LAÇO E DISPLAY COM TECLADO - SATÉLITE ENDEREÇÁVEL  ",CJ    ,2,            ,78056.02,156112.04,0.02,98.17,0.01,54.11
IM1328,PREPARO DO SOLO PARA PLANTIO DE GRAMA BATATAES  ,M2    ,40978.4,            ,3.8,155717.92,0.02,98.19,0.01,54.12
IM1888,CONCRETO PROJETADO  ,M3    ,160,            ,952.37,152379.2,0.02,98.21,0.01,54.13
IM1379,CABO DE COBRE 16 MM² - ISOLAMENTO PARA 1 KV  ,M     ,48270,            ,3.01,145292.7,0.02,98.23,0.01,54.14
IM1760,"VIDRO LISO DE SEGURANÇA, TEMPERADO INCOLOR - ESPESSURA 10 mm  ",M2    ,635.28,            ,224.9,142874.47,0.02,98.25,0.01,54.15
IM1579,"PAINEL DE MENSAGENS VARIÁVEIS EXTERNO COM DIMENSÕES MÍNIMAS DE 5,0M DE LARGURA E 2,0M DE ALTURA – MATRIZ COMPLETA (FULL MATRIX) EM TEXTO/ 3 LINHAS – LED - COR ÂMBAR COM NO MÍNIMO DE 120 PIXELS DE LARGURA E 32 PIXELS DE ALTURA.  ",CJ    ,8,            ,17833.6,142668.8,0.02,98.27,0.01,54.16
IM1836,"VÁLVULA DE RETENÇÃO VERTICAL DE AÇO 8""  ",UN    ,33,            ,4297.38,141813.54,0.02,98.29,0.01,54.17
IM1563,"FORNECIMENTO, INSTALAÇÃO, TESTE E COMISSIONAMENTO DO CONJUNTO DE TELEFONE DE EMERGÊNCIA AO USUÁRIO (CALLBOX) E CAIXA TÉCNICA  ",CJ    ,15,            ,9401.41,141021.15,0.02,98.31,0.01,54.18
IM1301,"FORNECIMENTO, TRANSPORTE E FIXAÇÃO DE SEMI-PÓRTICO TUBULAR EM BALANCO VÃO DE 5,10 m  ",UN    ,14,            ,9957.7,139407.8,0.02,98.33,0.01,54.19
IM1601,UNIDADE E CONTROLE DO ANEMÔMETRO TIPO PADRÃO RACK 19”  ,UN    ,20,            ,6606.84,132136.8,0.02,98.35,0.01,54.2
IM1578,MÓDULOS DE DETECÇÃO AUTOMÁTICA DE INCIDENTES TIPO CARTÃO  ,UN    ,54,            ,2421.16,130742.64,0.02,98.37,0.01,54.21
IM1636,"ELETRODUTO DE AÇO GALVANIZADO A FOGO, ROSCA BSP, TIPO PESADO, CONFORME NBR-5598, COM LUVA EM UMA DAS EXTREMIDADES, FORNECIDO EM BARRAS DE 3.000MM DE COMPRIMENTO, INCLUSIVE CONEXÕES E CAIXAS, Ø1.1/4""  ",M     ,8330,            ,15.17,126366.1,0.02,98.39,0.01,54.22
IM1498,"TRANSFORMADOR DE FORÇA TIPO SECO, BAIXA TENSÃO (TF-01), POTÊNCIA NOMINAL 300 KVA, 13,8kV440-266V, TRIFÁSICO, FORNECIDO CONFORME DOC. ESPECIFICAÇÃO TÉCNICA - EQUIPAMENTO ELÉTRICO E DIAGRA/MAS UNIFILARES  ",CJ    ,3,            ,41587.54,124762.62,0.02,98.41,0.01,54.23
IM1632,"LUMINÁRIA TIPO SOBREPOR COM REFLETOR EM CHAPA DE AÇO TRATADA E PINTURA ELETROSTÁTICA BRANCA, CORPO EM POLIÉSTER REFORÇADO COM FIBRA DE VIDRO, DIFUSOR EM ACRÍLICO DE ALTO IMPACTO, PARA DUAS LÂMPADAS FLUORESCENTES TUBULARES DE 32 W, COM REATOR ALOJADO NO CORPO.  ",CJ    ,786,            ,157,123402,0.02,98.43,0.01,54.24
IM1324,GRAMA BATATAES EM PLACAS (PASPALUM NOTATUM)  ,M2    ,27784.4,            ,4.3,119472.92,0.02,98.45,0.01,54.25
IM1590,SOFTWARE E LICENÇA DE SUPERVISÃO E OPERAÇÃO PARA SER INSTALADO NA ESTAÇÃO DE TRABALHO DE TODOS OS SISTEMAS DO CCO  ,UN    ,4,            ,29687.29,118749.16,0.02,98.47,0.01,54.26
IM1123,"TUBO DE FORMA TIPO ""37 TSR 15,7"" OU SIMILAR  ",M     ,20,            ,5886,117720,0.01,98.48,0.01,54.27
IM1666,CONJUNTO CAIXA TÉCNICA (QUADRO + FONTE 5VCC + PLACA CONTROLADORA + RÉGUA E ACESSÓRIOS)  ,CJ    ,187,            ,627.04,117256.48,0.01,98.49,0.01,54.28
IM1497,"TRANSFORMADOR DE FORÇA TIPO SECO MÉDIA TENSÃO TF-03 e TF-04), MONTADO EM CUBÍCULO, FECHADO, POTÊNCIA NOMINAL 1000 KVA, TRIFÁSICO, RELAÇÃO 13800-460/265V, FORNECIDO CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,2,            ,58055.15,116110.3,0.01,98.5,0.01,54.29
IM1436,"CUBÍCULO DE MÉDIA TENSÃO “CM 4.5-4.6”, TIPO METALCLAD, COM SECCIONADORA, AUXILIAR E INTERLIGAÇÕES, CLASSE 15 KV, CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,2,            ,57450.4,114900.8,0.01,98.51,0.01,54.3
IM1676,"CONJUNTO SENSOR ÓPTICO DE CO, NOX E OPACÍMETRO COMPLETO E INSTALADO  ",CJ    ,4,            ,28631.07,114524.28,0.01,98.52,0.01,54.31
IM1653,"CABO FLEXÍVEL - ISOLAÇÃO EM PVC-90°C - CLASSE 4 OU 5 - 0,6/1kV - 3Cx6,0mm²  ",M     ,13500,            ,8.44,113940,0.01,98.53,0.01,54.32
IM1457,"POSTE DE AÇO RETO SIMPLES, DE SEÇÃO CIRCULAR, SP-21, COM SUPORTE PARA MONTAGEM DE 1 LUMINÁRIA, PARA FIXAÇÃO COM CHUMBADORES, JANELA DE INSPEÇÃO, DIÂMETRO NA EXTREMIDADE DE 60 MM, COM 12,0 METROS DE ALTURA.  ",PÇ    ,68,            ,1672.18,113708.24,0.01,98.54,0.01,54.33
IM1504,"UNIDADE DE ENERGIA ININTERRUPTA ""NOBREAK"", 20 KVA COMPLETA COM BATERIAS SELADAS, 160 AH, ENTRADA TRIFÁSICA 220/127 V, SAÍDA TRIFÁSICA 220/127V, CONFORME DOC. ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR  ",CJ    ,7,            ,16202.49,113417.43,0.01,98.55,0.01,54.34
IM1389,"CABO DE COBRE NÚ, PARA ATERRAMENTO - 50 MM²  ",M     ,12470,            ,9.06,112978.2,0.01,98.56,0.01,54.35
IM1641,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO, 35MM2  ",M     ,7440,            ,15.17,112864.8,0.01,98.57,0.01,54.36
IM1564,"FORNECIMENTO, INSTALAÇÃO, TESTE E COMISSIONAMENTO DO CONJUNTO DE TELEFONE DE EMERGÊNCIA AO USUÁRIO (CALLBOX) E CAIXA DE PROTEÇÃO .  ",CJ    ,12,            ,9401.41,112816.92,0.01,98.58,0.01,54.37
IM1589,SOFTWARE E LICENÇA CLIENTE  ,UN    ,3,            ,36650.98,109952.94,0.01,98.59,0.01,54.38
IM1507,DUTOS SUBTERRÂNEOS - PEAD DN.100mm  ,M     ,19930,            ,5.27,105031.1,0.01,98.6,0.01,54.39
IM1887,ANDAIME TUBULAR  ,M3    ,7518.42,            ,13.96,104957.14,0.01,98.61,0.01,54.4
IM1932,GUIA DE AÇO PARA COMBWALL  ,KG    ,29840.391525,            ,3.48,104450.37,0.01,98.62,0.01,54.41
IM1496,"TRANSFORMADOR DE FORÇA TIPO SECO MÉDIA TENSÃO TF-01 e TF-02), MONTADO EM CUBÍCULO, FECHADO, POTÊNCIA NOMINAL 1000 KVA, TRIFÁSICO, RELAÇÃO 13800-460/265V, FORNECIDO CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,2,            ,52007.73,104015.46,0.01,98.63,0.01,54.42
IM1903,"TUBO DE INJEÇÃO E ACESSÓRIOS, COM DIÂMETRO DE 9,0 MM E COMPRIMENTO DE 1,3 METROS  ",UN    ,6120,            ,16.98,103917.6,0.01,98.64,0.01,54.43
IM1834,"TUBO DE FºFº - PONTA E BOLSA, CLASSE K9,DN 1000MM  ",M     ,20,            ,5044.72,100894.4,0.01,98.65,0.01,54.44
IM1674,CONJUNTO CÂMERA FIXA DIGITAL IP + LENTE 8mm + CAIXA DE PROTEÇÃO E ACESSÓRIOS  ,CJ    ,12,            ,8278.61,99343.32,0.01,98.66,0.01,54.45
IM1713,"TELHA TRAPEZOIDAL DUPLA EM AÇO GALVANIZADO - E= 0,8 mm, REVESTIMENTO B, H=40 mm - PINTADA 1 FACE - MIOLO EM POLIURETANO E=30 mm  ",M2    ,1227.91,            ,78.95,96943.49,0.01,98.67,0.01,54.46
IM1360,RESERVATÓRIO (INFERIOR + SUPERIOR) ÁGUA FRIA PARA ABASTECIMENTO  ,M3    ,24,            ,4031.6,96758.4,0.01,98.68,0.01,54.47
IM1365,"ELETRODUTO RÍGIDO DE PVC EM BARRAS DE 3M, COM ROSCA, CONFORME NORMA NBR-6150 CLASSE B, BITOLA: Ø4""  ",M     ,7720,            ,12.53,96731.6,0.01,98.69,0.01,54.48
IM1545,CONJUNTO CÂMERA MÓVEL DIGITAL IP + LENTE C/ ZOOM MOTORIZADO + CAIXA DE PROTEÇÃO C/ MOVIMENTADOR (PAN/TILT) E ACESSÓRIOS  ,CJ    ,9,            ,10711.1,96399.9,0.01,98.7,0.01,54.49
IM1303,SINALIZAÇÃO HORIZONTAL COM TERMOPLÁSTICO - HOT-SPRAY  ,M2    ,2952,            ,32.54,96058.08,0.01,98.71,0.01,54.5
IM1543,CONJUNTO CÂMERA FIXA DIGITAL IP + LENTE 12mm + CAIXA DE PROTEÇÃO E ACESSÓRIOS  ,CJ    ,12,            ,7916.6,94999.2,0.01,98.72,0.01,54.51
IM1533,CONJUNTO CAIXA TÉCNICA (QUADRO + FONTE 5VCC + PLACA CONTROLADORA + RÉGUA E ACESSÓRIOS)  ,CJ    ,98,            ,960.54,94132.92,0.01,98.73,0.01,54.52
IM1434,"CUBÍCULO DE MÉDIA TENSÃO “CM 1-2-3”, TIPO METALCLAD, COM SECCIONADORA, MEDIÇÃO E DISJUNTOR A VÁCUO OU SF6 EXTRAÍVEL, MEDIÇÃO E RELÉS DE PROTEÇÃO COM MÓDULO DE SAÍDA, CLASSE 15 KV, CONFORME ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR ELÉTRICO  ",CJ    ,3,            ,31353.47,94060.41,0.01,98.74,0.01,54.53
IM1675,CONJUNTO CÂMERA MÓVEL DIGITAL IP + LENTE C/ ZOOM MOTORIZADO + CAIXA DE PROTEÇÃO C/ MOVIMENTADOR (PAN/TILT) E ACESSÓRIOS  ,CJ    ,8,            ,11439.04,91512.32,0.01,98.75,0.01,54.54
IM1890,FÔRMA METÁLICA COM APLICAÇÃO DE DESMOLDANTE - SHEAR KEY  ,M2    ,1920,            ,46.32,88934.4,0.01,98.76,0.01,54.55
IM1458,"POSTE DE AÇO RETO SIMPLES, DE SEÇÃO CIRCULAR, SP-6/8, COM SUPORTE PARA MONTAGEM DE 1 LUMINÁRIA, PARA FIXAÇÃO COM CHUMBADORES, JANELA DE INSPEÇÃO, DIÂMETRO NA EXTREMIDADE DE 60 MM, COM 5,0 METROS DE ALTURA.  ",PÇ    ,70,            ,1254.13,87789.1,0.01,98.77,0.01,54.56
IM1738,"EMBOÇO INTERNO - ARGAMASSA MISTA DE CIMENTO, CAL E AREIA 1:4/12  ",M2    ,5327.88,            ,16.17,86151.82,0.01,98.78,0.01,54.57
IM1425,CAIXA DE PASSAGEM TIPO I COM TAMPA DE CONCRETO  ,PÇ    ,331,            ,260.17,86116.27,0.01,98.79,0.01,54.58
IM1295,FORNECIMENTO E TRANSPORTE DE PLACA DE AÇO GT+GT  ,M2    ,201.02,            ,425.1,85453.6,0.01,98.8,0.01,54.59
IM1806,GUARDA CORPO E CORRIMÃO EM TUBO DE AÇO INOX  ,M     ,264,            ,322.06,85023.84,0.01,98.81,0.01,54.6
IM1309,MANUTENÇÃO DE PLACA INSTITUCIONAL  ,VB    ,4224,            ,19.77,83508.48,0.01,98.82,0.01,54.61
IM1894,REFRIGERAÇÃO DA CONCRETAGEM - EM OPERAÇÃO  ,H     ,3024,            ,27.51,83190.24,0.01,98.83,0.01,54.62
IM1847,BOMBA SUBMERSÍVEL PARA ÁGUA SERVIDA Q=50m³/h  H=45 m.c.a  ,UN    ,2,            ,40543.89,81087.78,0.01,98.84,0.01,54.63
IM1302,SINALIZAÇÃO HORIZONTAL COM RESINA VINÍLICA OU ACRÍLICA  ,M2    ,6621,            ,12.13,80312.73,0.01,98.85,0.01,54.64
IM1902,FORNECIMENTO E APLICAÇÃO DE INJEÇÃO NA JUNTA WATERSTOP A BASE RESINA-ÉPOXI OU MASSA PLASTICA COM RESISTÊNCIA A COMPRESSÃO > 85 N/mm²  ,KG    ,945,            ,84.28,79644.6,0.01,98.86,0.01,54.65
IM1311,"FOCO SEMAFÓRICO PP'S ""GCR-1057-CONJUNTO 200 CONV. BP E GCR-1056-CONJUNTO 200 CONV. CS  ",UN    ,46,            ,1730.76,79614.96,0.01,98.87,0.01,54.66
IM1542,CONJUNTO CÂMERA FIXA DIGITAL IP + DAI + LENTE 12mm + CAIXA DE PROTEÇÃO E ACESSÓRIOS  ,CJ    ,10,            ,7916.6,79166,0.01,98.88,0.01,54.67
IM1296,FORNECIMENTO E TRANSPORTE DE PLACA DE AÇO GT+AI  ,M2    ,144,            ,547.04,78773.76,0.01,98.89,0.01,54.68
IM1113,LUVA E PINO  DE PRENSAGEM Ø25MM  ,UN    ,2938.26,            ,26.5,77863.89,0.01,98.9,0.01,54.69
IM1544,CONJUNTO CÂMERA FIXA DIGITAL IP + LENTE 8mm + CAIXA DE PROTEÇÃO E ACESSÓRIOS  ,CJ    ,10,            ,7751.79,77517.9,0.01,98.91,0.01,54.7
IM1906,"APARELHO DE ANCORAGEM ATIVO PARA CABOS PROTENSÃO 16 CORDOALHAS Ø15,2 mm  ",UN    ,264,            ,287.91,76008.24,0.01,98.92,0.01,54.71
IM1422,"BANCO AUTOMÁTICO DE CAPACITORES PARA CORREÇÃO DE FATOR DE POTÊNCIA ""CT-01"", 440V, TRIFÁSICO, 200KVAR, MONTADO EM ARMÁRIOS METÁLICOS APROPRIADOS, COMPLETO CONF. ESPECIFICAÇÃO TECNICA E DIAGRAMA ELÉTRICO.  ",PÇ    ,2,            ,37624.17,75248.34,0.01,98.93,0.01,54.72
IM1842,"TUBO DE AÇO CARBONO EXTREMIDADE CHANFRADA, PRETO, SEM COSTURA, PROTEGIDO COM FITA ANTI-CORROSIVA, ASTM A-106 GRB, SCH-40 - Ø150 mm  ",M     ,106,            ,708.19,75068.14,0.01,98.94,0.01,54.73
IM1820,JUNTA ELÁSTICA EM PVC TIPO O-32  ,M     ,1390.116,            ,54,75066.26,0.01,98.95,0.01,54.74
IM1534,CONJUNTO CAIXA TÉCNICA P/ CALLBOX (QUADRO + TRANSFORMADOR + RÉGUA E ACESSÓRIOS)  ,CJ    ,23,            ,3256.22,74893.06,0.01,98.96,0.01,54.75
IM1648,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO: 35MM2 SILICONE  ",M     ,2640,            ,28.36,74870.4,0.01,98.97,0.01,54.76
IM1130,"TUBO DE CONCRETO D= 0,60m CLASSE PA-3  ",M     ,711.6,            ,104,74006.4,0.01,98.98,0.01,54.77
IM1711,MONTAGEM DE ESTRUTURA METÁLICA PARA COBERTURA  ,KG    ,51371.81,            ,1.44,73975.41,0.01,98.99,0.01,54.78
IM0407,"TÁBUA DE 1ª 2,5 CM X 15,0 CM  ",M     ,21060.4768,            ,3.43,72237.43,0.01,99,0.01,54.79
IM0905,FILLER  ,KG    ,378157.92,            ,0.19,71850.01,0.01,99.01,0.01,54.8
IM1833,"TUBO DE FºFº - PONTA E BOLSA, CLASSE K9,DN 800MM  ",M     ,20,            ,3552.82,71056.4,0.01,99.02,0,54.8
IM1454,"LUMINÁRIA PÚBLICA LE120, DE LED (POTÊNCIA DE 190 A 210W) - 200W  ",CJ    ,97,            ,725.68,70390.96,0.01,99.03,0,54.8
IM1680,"FORNECIMENTO, INSTALAÇÃO, CONFIGURAÇÃO, TESTE E COMISSIONAMENTO DE DETECTOR DE FUMAÇA ÓPTICO EM TETO ENDEREÇÁVEL.  ",UN    ,105,            ,667.45,70082.25,0.01,99.04,0,54.8
IM1655,APOIO DE FIXAÇÃO DA CÂMERA FIXA INTERNO EM TÚNEL  ,CJ    ,30,            ,2317.45,69523.5,0.01,99.05,0,54.8
IM1112,LUVA E PINO  DE PRENSAGEM Ø20MM  ,UN    ,4520.4,            ,15.3,69162.12,0.01,99.06,0,54.8
IM1375,"CABO 120MM² - ISOLAMENTO PARA 0,7KV - CLASSE 4 FLEXÍVEL  ",M     ,3460,            ,19.95,69027,0.01,99.07,0,54.8
IM1621,PINTURA TUBULAÇÃO AÇO GALVANIZADO Ø 100 mm - VERMELHO SEGURANÇA  ,M     ,1740.04,            ,39.04,67931.16,0.01,99.08,0,54.8
IM1325,GRAMA SÃO CARLOS EM PLACAS (ANOXONOPUS OBTUSIFOLIUS)  ,M2    ,15669.4,            ,4.3,67378.42,0.01,99.09,0,54.8
IM1739,"EMBOÇO INTERNO DESEMPENADO PARA PINTURA - ARGAMASSA MISTA DE CIMENTO, CAL E AREIA 1:3/12  ",M2    ,4084.3,            ,16.14,65920.6,0.01,99.1,0,54.8
IM1411,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO, 16MM2  ",M     ,17960,            ,3.62,65015.2,0.01,99.11,0,54.8
IM1304,SINALIZAÇÃO HORIZONTAL COM TERMOPLÁSTICO - EXTRUDADO  ,M2    ,1722,            ,37.2,64058.4,0.01,99.12,0,54.8
IM1689,"PAINEL DE MENSAGENS VARIÁVEIS INFORMATIVO (PMI) INTERNO COM DIMENSÕES MÍNIMAS DE 1,5M DE LARGURA E 0,3M DE ALTURA – MATRIZ COMPLETA (FULL MATRIX) EM TEXTO/ 1 LINHA – LED - COR ÂMBAR  ",UN    ,5,            ,12608.66,63043.3,0.01,99.13,0,54.8
IM1384,CABO DE COBRE 95 MM² - ISOLAMENTO PARA 1 KV  ,M     ,2310,            ,27.2,62832,0.01,99.14,0,54.8
IM1506,"CABO FLEXÍVEL - ISOLAÇÃO EM PVC-90°C - CLASSE 4 OU 5 - 0,6/1kV - 3Cx6,0mm²  ",M     ,11870,            ,5.27,62554.9,0.01,99.15,0,54.8
IM1605,"CIMENTADO COMUM, DESEMPENADO E ALISADO - ESPESSURA 20 mm  ",M2    ,1775,            ,34.84,61841,0.01,99.16,0,54.8
IM1597,SWITCH GIGABIT ETHERNET 24 PORTAS RJ-45 + 3 OU 4 PORTAS MINI GBIC OU MÓDULO SFP - COMUTAÇÃO L3  ,UN    ,2,            ,30786.81,61573.62,0.01,99.17,0,54.8
IM1361,CARRETEL DE MANGUEIRA SEMI-RÍGIDA (MANGOTINHO) L=30M E Ø25MM  ,UN    ,33,            ,1845.46,60900.18,0.01,99.18,0,54.8
IM1419,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO: 35MM2 SILICONE  ",M     ,2260,            ,26.85,60681,0.01,99.19,0,54.8
IM1755,"PISO VINÍLICO CROMA OU SIMILAR - E=3,2 mm, EXCLUSIVE ARGAMASSA REGULARIZAÇÃO DA BASE  ",M2    ,495.4,            ,121.91,60394.21,0.01,99.2,0,54.8
